commit	val_bpb	artifact_bytes	status	description
593dbb7	1.36878	15301754	keep	baseline: RevDEQ+MLA+MoE+FSQ+DiffAR (no CTP), fp64, identity init, conv_reg=1.0
5bcf100	1.96394	15301754	discard	CTP+NTP dual-head (weight=0.5, separate head dim->64->dim) — massive regression
records-2026-03-25	1.21287	12770518	record_baseline	record 2026-03-25 ValCalib_GPTQ_XSA_BigramHash3072 on 2xL40S/2h/no-compile (sliding stride=64: 1.18916)
926cf63	0.00000	0	crash	iter 0 attempt 1: parallel residuals f(z)=attn+mlp diverged — deq_residual exploded 976->7.2e8 at step 600, val_bpb 1.96->3.13 monotone regression. Root cause: sum form has ~2x update magnitude vs sequential composition
7949f5a	0.00000	0	crash	iter 0 attempt 2: parallel residuals 0.5x scaling regressed val_bpb 1.82->2.85 between step 400 and 600, deq_residual 1641->74361 (45x jump). Still diverging, just slower than attempt 1. Pattern: muon momentum warmup pushing borderline-contractive solver out of contraction around step 600
f161bbe	2.40739	9188031	discard	iter 0 attempt 4: parallel residuals (no inner resid) + deq_beta 0.20 + 1h. Pre-quant val_bpb 1.5836 at step 822, post-SWA+EMA+int6: 2.4074. K-sweep k4=k6=k8=k12=k16=2.4074 confirming fixed-point property INTACT but EMA contamination on 822-step run dragged gates near identity. SWA+EMA decay schedules assume 3000+ steps; 0.997^822 = 0.086 leaves 8.6% init weight contribution. arch is sound, post-training pipeline broke it
83e94a3	1.62090	8865555	discard	iter 1: parallel residuals (no inner) + deq_beta 0.20 + SWA OFF + EMA OFF + 1h. Post-int6: 1.6209 (vs iter 0's 2.4074, -0.787 BPB win confirms SWA/EMA were the killer). K-sweep k4=k8=k16=1.6209 perfect fixed-point invariance. Artifact 8.87MB. Still +0.21 above old broken baseline 1.4094 — gap is undertraining (831 steps in 1h) vs old broken baseline (3058 steps in 20min). DEQ converges in <4 iters (gg_tok ~0.22) — under-utilizing iterative depth
f16086e	1.62035	8926981	discard	iter 2: + gg_gate.bias init=1.5 (force more iterative depth). Model REJECTED the init: gg_mean dropped 0.82 (init) -> 0.11 (step 200) -> 0.23 (step 832), nearly identical trajectory to iter 1. Final val_bpb 1.62035 vs iter 1's 1.62090 (delta 0.0006 = noise). K-sweep k4=k8=k16=1.6203 (still flat). Initialization-only interventions cannot override optimizer preference for shallow DEQ. Pivot to iter 3 = double experts (add capacity in the regime model likes)
dcb1d5f	0.00000	0	crash	iter 3 attempt 1: double experts 6->12. Expert collapse at step 400 (attn_cv 0.18->1.69, expert 1 took 51% of routing). val_bpb 1.96->2.18->5.46 monotone regression, val_loss 3.69->9.24. Root cause: bal_loss_coef=5e-3, attn_balance_mult=5.0 tuned for 6 experts, doesn't scale to 12 (per-expert ideal load halves from 1/6 to 1/12). gg_iter trajectory at step 200 was beautifully decreasing [0.20,0.12,0.09,0.07,0.06,0.06,0.05,0.05] but corrupted to [0.65,0.15,0.06,0.03,0.03,0.03,0.03,0.03] by step 400 from routing collapse. Retry with stronger balance loss
d5052ce	1.62251	9407387	discard	iter 3 attempt 3: 8 experts + deq_beta 0.20 + parallel resid (no inner) + SWA/EMA OFF + 1h. Post-int6: 1.6225 (tied with iter 1's 1.6209). gg_iter learned dome shape [0.196,0.476,0.626,0.534,0.148,0.053,0.029,0.019] with peak 0.626 at iter 2 — first time model uses real iterative depth. K-sweep interrupted by tmux crash but expected flat. 8 experts balanced (attn_cv ~0.25, entropy 95% of max). 770 steps in 1h at 4825ms/step. Same val_bpb as 6-expert despite interesting depth dynamics — throughput cost (11% slower) cancels per-step gain
